"lon","lat","type"
147.865396626705,-16.3856145924217,"dryreef"
147.886068404499,-16.3938640919622,"dryreef"
147.893725437816,-16.4050291134473,"dryreef"
147.832943921991,-16.4076148247797,"dryreef"
148.036038915973,-16.4724001532416,"dryreef"
147.898631292513,-16.414709891359,"dryreef"
147.899227164289,-16.4278135911574,"dryreef"
147.856069296534,-16.4334163449331,"dryreef"
147.866409658044,-16.4787960390564,"dryreef"
147.824889260458,-16.5367203019847,"dryreef"
147.740619169118,-16.7552561640047,"dryreef"
149.90991996401,-16.9690559896792,"dryreef"
149.144993401692,-17.0010258502652,"dryreef"
151.961944365323,-17.1108291082926,"dryreef"
152.031431345604,-17.1157634527124,"dryreef"
151.792091121314,-17.1610972008323,"dryreef"
152.128515140095,-17.2171877863583,"dryreef"
152.095080626441,-17.2565160347464,"dryreef"
151.672978508941,-17.2716465931466,"dryreef"
152.085493822718,-17.2720224702396,"dryreef"
152.076494912704,-17.2930309877645,"dryreef"
151.646473988789,-17.2909917242533,"dryreef"
151.640105833409,-17.3011765300624,"dryreef"
152.062630790375,-17.3102325104399,"dryreef"
151.615845868268,-17.3153410470456,"dryreef"
148.461101835987,-17.3216942395318,"dryreef"
152.05121754817,-17.3165766191611,"dryreef"
155.861889479942,-17.3916860849106,"dryreef"
151.940849004617,-17.385984353522,"dryreef"
151.951394832972,-17.3865631591251,"dryreef"
151.931267252999,-17.3881149308983,"dryreef"
151.986344781276,-17.3893455960239,"dryreef"
148.191853167989,-17.4023347980583,"dryreef"
151.914509300787,-17.3976521636661,"dryreef"
151.832566478285,-17.4232658619524,"dryreef"
148.336300738394,-17.4329215231442,"dryreef"
151.82217649526,-17.4333661956751,"dryreef"
148.29559657332,-17.5130375472191,"dryreef"
148.308424395948,-17.5340918172551,"dryreef"
148.579105628472,-17.6306868501763,"dryreef"
151.622763212345,-17.5625490426529,"dryreef"
148.334355542103,-17.5780999177613,"dryreef"
151.521016882914,-17.5929895502262,"dryreef"
151.460217679449,-17.6175809590861,"dryreef"
151.35599998879,-17.6535167670771,"dryreef"
148.353101189297,-17.7066786204512,"dryreef"
148.516528560368,-17.7019544514473,"dryreef"
148.458375476196,-17.7177680283357,"dryreef"
148.395930625736,-17.7086053658184,"dryreef"
148.419312391756,-17.7858029671647,"dryreef"
148.41512364729,-17.8238721381582,"dryreef"
148.511994039572,-17.8658113890808,"dryreef"
152.281979389373,-18.9356580332963,"dryreef"
152.337127393828,-18.9733942261884,"dryreef"
152.378208134084,-19.0217040760835,"dryreef"
152.385325304814,-19.063534389199,"dryreef"
152.142283112488,-19.0607391568862,"dryreef"
152.169508811552,-19.2260709754426,"dryreef"
152.216858796951,-19.2865551059291,"dryreef"
154.399945082794,-20.9329666130479,"dryreef"
155.746079062891,-21.1172287341636,"dryreef"
155.774380900216,-21.1979054390168,"dryreef"
153.781826630973,-21.6961683855243,"dryreef"
153.778266148401,-21.7275253621271,"dryreef"
153.767963396668,-21.7582940603174,"dryreef"
153.746096763956,-21.7870312978109,"dryreef"
153.674284833598,-21.8687782283307,"dryreef"
153.545732280637,-21.8944394763811,"dryreef"
153.53655318139,-21.8997804220114,"dryreef"
153.585476637683,-21.9182962808861,"dryreef"
153.557377093297,-21.9186705775681,"dryreef"
155.181369386157,-22.179413426601,"dryreef"
155.163323577123,-22.1804969871943,"dryreef"
155.392617843809,-22.1971450556149,"dryreef"
155.410621134546,-22.199322047694,"dryreef"
155.297663103506,-22.2033405095697,"dryreef"
155.26640285686,-22.2053926410401,"dryreef"
155.54642288103,-23.2462721123389,"dryreef"
144.531436193242,-10.0711962089418,"dryreef"
144.570939747948,-10.1277518438205,"dryreef"
144.575318823239,-10.1505623812393,"dryreef"
144.587934089641,-10.1667774271658,"dryreef"
144.5998846749,-10.2011790469871,"dryreef"
144.597648330135,-10.2288038387816,"dryreef"
144.568235395828,-10.2516244089937,"dryreef"
144.535112359133,-10.2803931701421,"dryreef"
144.539644897339,-10.3129075385797,"dryreef"
144.48239077168,-10.4162947231997,"dryreef"
144.389714532642,-10.4006089715179,"dryreef"
144.387481884128,-10.3254501883816,"dryreef"
144.385563297287,-10.3441506371974,"dryreef"
144.403391305026,-10.2864370948371,"dryreef"
144.39931552078,-10.2978970234626,"dryreef"
144.396825890582,-10.304170637067,"dryreef"
144.404086996661,-10.2697294637509,"dryreef"
144.4120620516,-10.2472137618201,"dryreef"
